id_cepa_sku;nombre_cientifico;nivel_bioseguridad;temp_almacenamiento;requiere_licencia;precio_por_microlitro;precio_mayorista;volumen_stock;Descripcion;Categoria
BIO-9003-98-9-GFP;Aequorea victoria Fluorescent Protein Strain;1;-20.0;False;14.25;11.5;1000.0;Cepa modificada genéticamente que expresa la Proteína Verde Fluorescente (GFP) de Aequorea victoria. Ideal para demostraciones educativas de fluorescencia y marcado molecular.;Bioluminiscencia
BIO-1100-22-4-BACS;Bacillus subtilis (Cepa Bioluminiscente Educativa);1;4.0;False;8.5;6.8;2500.0;Cepa educativa no patógena de Bacillus subtilis que emite luz visible en oscuridad tras la adición del sustrato de luciferina. Muy utilizada para laboratorios escolares.;Bioluminiscencia
BIO-2200-33-1-ECOL;Escherichia coli DH5-alpha (Cepa de Clonación);1;-80.0;False;5.2;3.9;5000.0;Cepa bacteriana de competencia estándar de alta eficiencia para clonación de plásmidos y propagación de ADN recombinante. Carece de actividad de endonucleasas endógenas.;Ingeniería Genética
BIO-4400-55-2-SACCH;Saccharomyces cerevisiae (Expresión de Levadura);1;4.0;False;9.75;7.5;3000.0;Cepa diploide optimizada para la expresión de proteínas eucariotas recombinantes y estudios de fermentación industrial.;Microbiología Industrial
BIO-5500-66-3-LACT;Lactobacillus acidophilus (Probiótica);1;4.0;False;6.5;4.8;4000.0;Bacteria ácido-láctica de grado industrial utilizada en investigación alimentaria para la fermentación de lácteos y estudios de microbiota intestinal.;Microbiología Industrial
BIO-7700-88-4-PYRO;Pyrococcus furiosus (Arquea Hipertermófila);1;-20.0;True;24.5;19.8;800.0;Arquea hipertermófila aislada de sedimentos geotermales marinos. Fuente natural de la ADN polimerasa Pfu, caracterizada por su alta fidelidad térmica.;Ingeniería Genética
BIO-8800-99-5-THERM;Thermus aquaticus (Fuente Taq Polimerasa);1;4.0;False;18.0;14.5;1500.0;Bacteria termófila de origen hidrotermal. Fuente de la enzima Taq polimerasa, pilar fundamental de la reacción en cadena de la polimerasa (PCR).;Ingeniería Genética
BIO-3300-44-6-RHIZO;Rhizobium leguminosarum (Fijación de Nitrógeno);1;4.0;False;7.2;5.5;3500.0;Bacteria simbiótica fijadora de nitrógeno atmosférico para leguminosas. Utilizada en investigación biológica agrícola y desarrollo de biofertilizantes.;Medio Ambiente / Agricultura
BIO-6600-77-7-STREP;Streptomyces coelicolor (Actinobacteria);1;-20.0;False;11.2;9.0;1200.0;Actinobacteria modelo para el estudio del desarrollo celular bacteriano y la síntesis de metabolitos secundarios activos como antibióticos policétidos.;Microbiología Industrial
BIO-9900-11-8-DEINO;Deinococcus radiodurans (Radiotolerante);1;4.0;True;29.99;24.0;500.0;Bacteria extremófila célebre por su extraordinaria resistencia a la radiación ionizante, la deshidratación profunda y agentes mutágenos potentes.;Medio Ambiente / Agricultura
